method,n_early,MAE_mean,MAE_std,MedAE_mean,RMSE_mean,PICP_gauss_mean,MPIW_gauss_mean,NLL_gauss_mean,CRPS_gauss_mean,PICP_conformal_mean,MPIW_conformal_mean,n_runs
Bayesian_LSTM,50,194.687,32.352,134.95,257.898,0.655,308.686,10.963,158.002,0.927,1171.395,5
Bayesian_LSTM,100,191.688,31.763,133.478,255.428,0.672,310.326,10.899,154.947,0.925,1171.955,5
Bayesian_LSTM,150,184.548,33.518,140.836,249.074,0.696,323.16,10.264,147.49,0.92,1124.388,5
Bootstrap_Ensemble_PINN_Knee,50,145.651,40.06,68.688,230.697,0.482,175.461,25.719,129.685,0.945,1012.771,5
Bootstrap_Ensemble_PINN_Knee,100,133.672,39.63,57.979,211.481,0.625,194.062,21.649,116.271,0.973,1016.591,5
Bootstrap_Ensemble_PINN_Knee,150,112.763,39.849,58.183,183.701,0.556,146.164,23.55,99.84,0.94,845.029,5
CQR_MLP,50,293.308,137.966,146.928,515.589,0.364,400.219,22.229,244.899,0.882,1177.893,5
CQR_MLP,100,10476748984724.5,23426722912499.6,168.034,46853445825133.336,0.429,88195377115912.34,21.453,7169712152305.011,0.981,175383.807,5
CQR_MLP,150,308.406,66.247,149.336,643.417,0.474,699.283,13.843,237.964,0.952,44234.611,4
CQR_PINN_Knee_FLAGSHIP,50,165.6,42.996,121.983,232.272,0.336,151.61,33.013,148.331,0.973,1187.306,5
CQR_PINN_Knee_FLAGSHIP,100,165.316,29.712,115.197,230.013,0.533,288.586,351.085,138.99,0.982,1197.022,5
CQR_PINN_Knee_FLAGSHIP,150,153.723,25.687,113.986,218.533,0.548,271.77,2593.519,130.642,0.92,883.729,5
Combined_UQ_PINN_Knee,50,147.13,38.443,63.78,235.313,0.355,96.255,92.381,136.953,0.945,1083.847,5
Combined_UQ_PINN_Knee,100,138.098,40.812,66.307,216.616,0.498,149.363,64.046,122.787,0.963,1012.583,5
Combined_UQ_PINN_Knee,150,111.398,38.264,53.994,180.281,0.391,79.107,139.723,102.687,0.93,820.081,5
Deep_Ensemble_PINN_Knee,50,147.161,38.435,64.26,235.361,0.345,95.9,97.253,136.964,0.945,1084.712,5
Deep_Ensemble_PINN_Knee,100,137.964,40.78,65.728,216.317,0.498,149.103,65.645,122.663,0.963,1010.924,5
Deep_Ensemble_PINN_Knee,150,111.583,38.215,54.27,180.176,0.381,77.805,162.24,102.978,0.94,821.553,5
Ensemble_NN_5x_MLP,50,198.905,32.329,149.322,260.823,0.045,56.787,420.211,191.079,0.964,1200.782,5
Ensemble_NN_5x_MLP,100,197.717,31.444,157.191,262.018,0.105,65.505,288.266,188.796,0.973,1239.728,5
Ensemble_NN_5x_MLP,150,191.683,30.148,157.572,258.348,0.081,54.85,683.06,184.348,0.95,1213.718,5
Gaussian_Process,50,156.662,42.598,80.292,239.715,0.027,3.92,30619.782,156.105,0.945,1086.205,5
Gaussian_Process,100,141.441,42.849,77.308,212.155,0.019,3.92,24169.872,140.878,0.973,1073.818,5
Gaussian_Process,150,125.294,34.428,72.02,188.125,0.0,3.92,19468.768,124.73,0.921,794.734,5
Heteroscedastic_MLP,50,415.442,394.331,171.629,954.636,0.527,2009.181,16.049,315.6,0.927,8712.142,5
Heteroscedastic_MLP,100,485464564796913.1,1085531767552339.2,178.877,2171063535105365.5,0.466,4572931835227741.0,24.778,352073452121187.56,0.962,788096.141,5
Heteroscedastic_MLP,150,979.356,1166.727,196.307,3114.996,0.539,3079.883,13.762,661.121,0.952,1415947.862,4
Jackknife_Plus_PINN_Knee,50,151.474,35.073,78.796,235.063,0.2,54.308,330.83,144.534,,,5
Jackknife_Plus_PINN_Knee,100,143.362,34.684,92.398,216.148,0.214,59.42,163.822,135.76,,,5
Jackknife_Plus_PINN_Knee,150,113.765,40.275,63.157,177.18,0.089,24.27,640.705,110.419,,,5
