method,n_early,expected_cost_uq,expected_cost_naive,cost_savings,cost_savings_pct,failure_rate_uq,failure_rate_naive
Deep Ensemble PINN-Knee,50,319.1812793074865,397.1609958037463,77.97971649625981,19.63428365830587,0.3090909090909091,0.5
Deep Ensemble PINN-Knee,100,264.5424332223314,338.67083348782256,74.12840026549117,21.88803786321817,0.16822429906542055,0.40186915887850466
Deep Ensemble PINN-Knee,150,273.07936422461955,380.6393675261852,107.56000330156564,28.257719111033964,0.30392156862745096,0.5392156862745098
CQR-PINN-Knee,50,353.23513803384907,438.32697108816024,85.09183305431117,19.41286725821778,0.35454545454545455,0.5454545454545454
CQR-PINN-Knee,100,314.49489239412435,445.9194261494711,131.42453375534677,29.472708755974576,0.205607476635514,0.5607476635514018
CQR-PINN-Knee,150,310.2508462347847,398.0370218380993,87.78617560331458,22.054776512477627,0.20588235294117646,0.49019607843137253
Combined UQ PINN-Knee,50,285.6762104937811,388.03906057623664,102.36285008245551,26.37952218790733,0.22727272727272727,0.4818181818181818
Combined UQ PINN-Knee,100,255.34737268504898,338.80079716792363,83.45342448287465,24.632003578643204,0.14018691588785046,0.40186915887850466
Combined UQ PINN-Knee,150,235.8390754571191,375.5410420451445,139.70196658802539,37.2001861174022,0.21568627450980393,0.5294117647058824
Ensemble_NN,50,401.3575883729481,398.9048612908071,-2.4527270821409957,-0.6148651771764004,0.39090909090909093,0.4
Ensemble_NN,100,397.261730610756,412.6099522355338,15.348221624777807,3.7197894868072514,0.38317757009345793,0.42990654205607476
Ensemble_NN,150,379.75111825941184,397.33670172314146,17.58558346372962,4.425864358229611,0.3627450980392157,0.4117647058823529
Bayesian_LSTM,50,286.1197388997474,408.3235716538863,122.20383275413889,29.928184713696727,0.08181818181818182,0.42727272727272725
Bayesian_LSTM,100,275.7149242153908,401.91552526693846,126.20060105154766,31.399782570660733,0.056074766355140186,0.4205607476635514
Bayesian_LSTM,150,258.0740390818022,390.0381431584577,131.96410407665547,33.833640732681744,0.029411764705882353,0.4117647058823529
Gaussian Process,50,402.1523847143381,402.1167483507018,-0.03563636363628575,-0.008862193326303803,0.4909090909090909,0.4909090909090909
Gaussian Process,100,398.24128538297464,398.29623865400265,0.05495327102801184,0.01379708510773796,0.514018691588785,0.514018691588785
Gaussian Process,150,423.35998918078855,423.7443029062787,0.38431372549013076,0.09069472388284382,0.5980392156862745,0.5980392156862745
