n_early,fold,ensemble_size,MAE,PICP_gauss,MPIW_gauss,PICP_conformal,MPIW_conformal
50,0,2,100.45656828446822,0.36363636363636365,87.91366220583387,1.0,1730.0978393554688
50,0,3,98.37619087912822,0.36363636363636365,86.9291767671616,1.0,1737.2459716796875
50,0,5,96.6698145086115,0.3181818181818182,77.87717134596215,1.0,1729.1786010742187
50,0,8,97.66107160394841,0.3181818181818182,87.99398424298654,1.0,1727.1093826293945
50,0,10,97.04266225641423,0.3181818181818182,85.21834050844913,1.0,1725.5967346191405
50,1,2,130.91840223832563,0.2727272727272727,61.72950971599082,0.9090909090909091,949.6305847167969
50,1,3,130.0768219918916,0.45454545454545453,80.64479978950887,0.9090909090909091,949.3676554361979
50,1,5,130.24988625266337,0.36363636363636365,72.67107033411781,0.9090909090909091,915.447509765625
50,1,8,131.25579183751887,0.2727272727272727,74.96702961176028,0.9090909090909091,912.2130966186523
50,1,10,130.89302139282225,0.36363636363636365,80.46989661696283,0.9090909090909091,918.9312072753906
50,2,2,163.11906363747337,0.045454545454545456,69.79691276963395,0.8636363636363636,830.5350036621094
50,2,3,157.20529637192237,0.36363636363636365,148.7613679151041,0.8636363636363636,778.8225708007812
50,2,5,154.90388821688563,0.3181818181818182,115.82192245103725,0.8636363636363636,783.8795532226562
50,2,8,154.77929574793035,0.3181818181818182,108.01200967072533,0.8636363636363636,806.5642547607422
50,2,10,156.11652103770862,0.3181818181818182,111.15732236877157,0.8636363636363636,802.1440185546875
50,3,2,151.11410557140005,0.3181818181818182,79.16484532713643,0.9545454545454546,1064.6173706054688
50,3,3,150.58308745875505,0.36363636363636365,78.5352704976075,0.9545454545454546,1070.2866007486978
50,3,5,150.88843952525747,0.4090909090909091,79.22848851212103,1.0,1053.5852172851562
50,3,8,150.0604627538811,0.4090909090909091,79.57485493372683,0.9545454545454546,1053.105354309082
50,3,10,149.39019619985058,0.36363636363636365,85.23835887391785,1.0,1056.0141235351562
50,4,2,207.43653193387118,0.3181818181818182,112.41323223031453,0.9545454545454546,954.2398376464844
50,4,3,205.66981356071702,0.4090909090909091,128.08094374054147,0.9545454545454546,950.5098063151041
50,4,5,203.59702349576085,0.36363636363636365,136.86002066909484,0.9545454545454546,912.2169799804688
50,4,8,203.2939951203086,0.36363636363636365,125.64249500779762,0.9545454545454546,916.399055480957
50,4,10,202.3625781319358,0.36363636363636365,117.4145354050629,0.9545454545454546,920.8760681152344
100,0,2,94.05414841391824,0.4090909090909091,96.67107404693392,1.0,1661.7354125976562
100,0,3,87.58675372961794,0.5,106.07378349867894,1.0,1669.6534016927085
