other_method,n_paired,mean_delta,se_delta,P_other_worse_than_DE_by_5cyc,P_practically_equivalent_within_5cyc,P_other_better_than_DE_by_5cyc
Combined_UQ_PINN_Knee,102,-0.196364696727068,0.15013132321925085,0.0,1.0,5.720446670894898e-55
Bootstrap_PINN_Knee,102,1.199378825168996,2.4148292856807276,0.05932275081564087,0.9348184549163723,0.005858794267986839
Hyper_Deep_Ensemble,102,1.8314261043773026,1.0640798192534542,0.001817680925018883,0.9981823168309427,2.2440383712409827e-09
SNGP,102,2.0669179430194995,3.568624764599889,0.20653258869690116,0.7682719056836523,0.025195505619446452
Jackknife_Plus_PINN_Knee,102,2.186182111852317,2.8679202883903194,0.1644352010133856,0.8286557711201347,0.00690902786647978
NGBoost,102,11.81023850614642,9.435947477680298,0.7639370127890975,0.19714557870301042,0.038917408507892055
Gaussian_Process,102,13.693170854093944,4.713146189604477,0.9659759084762641,0.033955782353896104,6.830916983975942e-05
Heteroscedastic_MLP_v2,102,26.09892243030025,9.720992708849355,0.9838418566308297,0.015237221881325081,0.0009209214878452374
CQR_MLP_v2,102,29.923447708055093,9.309023516922228,0.9956689996064685,0.004184281568157151,0.0001467188253743629
CQR_PINN_Knee,102,41.90745823348271,8.393258090887814,0.9999864122921601,1.3490259127138801e-05,9.744871274059147e-08
Bayesian_LSTM,102,73.12426582835079,8.369042852178048,0.9999999999994637,5.350398224177111e-13,1.3089207787020235e-15
Ensemble_NN,102,80.42282439303467,9.285613601263119,0.9999999999994148,5.825996954206383e-13,2.598860859281781e-15
Last_Layer_Laplace,102,406.24880260018745,143.7567702087265,0.9968595892043711,0.0005717935375320884,0.00256861725809679
