n_early,cal_fraction,n_cal_per_fold,PICP_mean,PICP_std,MPIW_mean,MPIW_std,n_resamples
50,0.15,6,0.8589473684210526,0.13486014095250135,801.031861820984,545.8365984078566,250
50,0.25,11,0.9186666666666666,0.08845238092589738,1002.7449804019928,519.9838306434224,250
50,0.33,14,0.9336000000000001,0.07688328817109737,1085.6131965518953,514.9451883173459,250
50,0.5,22,0.9556363636363636,0.06001762826436362,1282.70572024765,524.612781610869,250
100,0.15,6,0.8640777619724989,0.1240471459364784,759.7345189086914,507.50428853752487,250
100,0.25,11,0.9115757575757575,0.09711168759140335,920.0189490478516,490.20349788131836,250
100,0.33,14,0.9294528735632184,0.08164501904358948,996.2962515747071,488.5176634951436,250
100,0.5,22,0.9556450216450216,0.059865682380750615,1167.6671338867186,516.6859448003788,250
150,0.15,6,0.8627732959850607,0.12227169695076537,607.4553250610351,482.04353474356793,250
150,0.25,10,0.9077352150537635,0.09648919527126262,745.7014544433595,498.71834589303705,250
150,0.33,13,0.9237956577266923,0.08403965040904574,828.3291601318359,516.1065602374418,250
150,0.5,21,0.9514095238095238,0.06874983141599615,1022.963062573242,554.2715868209707,250
