method,n_early,fold,n_cells,mae,mape_%,rmse,median_ae
Bayesian_LSTM,50,0,22.0,147.85741169785004,46.356213050785726,183.69543264126318,140.50947560628256
Bayesian_LSTM,50,1,22.0,185.71981833486845,43.72991679002854,271.92143804238987,129.93590095520017
Bayesian_LSTM,50,2,22.0,204.1910479551373,79.88020341531107,248.3993536646431,131.96842819213867
Bayesian_LSTM,50,3,22.0,198.45161094665525,61.04526518507817,218.941107387216,140.19594963073732
Bayesian_LSTM,50,4,22.0,237.21615115310206,52.99606055449745,366.5317849533711,132.14204554239907
Bayesian_LSTM,100,0,22.0,147.89141190268776,46.43568092464645,183.6034308564258,141.41401077270507
Bayesian_LSTM,100,1,22.0,186.0406238463431,44.050501073905195,272.02809098077904,131.9684134674072
Bayesian_LSTM,100,2,20.0,193.4684610010783,41.49489798019712,241.0787083197423,127.62402371724446
Bayesian_LSTM,100,3,21.0,193.76525244818794,44.03980588785746,214.71896351465955,133.83316899617512
Bayesian_LSTM,100,4,22.0,237.2734952568285,53.239697368827954,365.7131998762863,132.5482028198242
Bayesian_LSTM,150,0,21.0,139.82967669290207,34.97019521404547,173.78391312662896,144.52783640543618
Bayesian_LSTM,150,1,21.0,178.49908340454098,38.34165155371506,266.78119627507465,141.98809829711917
Bayesian_LSTM,150,2,19.0,180.06493083217688,34.21803469669395,229.92087732907606,118.88725636800132
Bayesian_LSTM,150,3,21.0,190.830743962848,45.75838670973351,207.49419772131222,153.40977096557617
Bayesian_LSTM,150,4,20.0,233.51536655426025,40.003662386463866,367.3922423676738,145.36491170247396
Bootstrap_PINN_Knee,50,0,22.0,84.45102754072708,28.51965390327657,150.01197561819794,26.629100799560547
Bootstrap_PINN_Knee,50,1,22.0,139.8257232319225,32.24456932868456,254.95468069749248,74.84428253173829
Bootstrap_PINN_Knee,50,2,22.0,150.87946985418148,87.03580097173763,224.2939166768249,49.42448883056639
Bootstrap_PINN_Knee,50,3,22.0,157.7966476613825,44.13888115081362,197.217950445586,123.49868774414062
Bootstrap_PINN_Knee,50,4,22.0,195.30089222301132,48.2372573653741,327.00401855607197,69.0411102294922
Bootstrap_PINN_Knee,100,0,22.0,96.07412494312634,35.044529718047805,155.84242148684154,49.138544082641616
Bootstrap_PINN_Knee,100,1,22.0,123.20356389825997,32.129718448031184,221.8894971792428,51.22327880859373
Bootstrap_PINN_Knee,100,2,20.0,127.38636760711672,30.313493071502126,178.03222353842816,64.99443664550782
Bootstrap_PINN_Knee,100,3,21.0,120.58269994826543,21.042567523091968,175.90201023523983,54.781716918945335
Bootstrap_PINN_Knee,100,4,22.0,201.11090680902655,54.61970070058814,325.740506431938,69.75479202270509
Bootstrap_PINN_Knee,150,0,21.0,66.56406874883744,13.102628295181866,112.44213899354638,27.62109985351563
Bootstrap_PINN_Knee,150,1,21.0,120.3162392025902,24.498919191162454,220.64799490602954,49.79427490234377
Bootstrap_PINN_Knee,150,2,19.0,109.19277359811885,19.60234426746462,156.23861241942834,62.95354614257815
Bootstrap_PINN_Knee,150,3,21.0,93.52072546822683,18.286194605676776,132.90329686413241,66.48370971679685
Bootstrap_PINN_Knee,150,4,20.0,174.22338638305663,30.282274129002367,296.274414429046,84.06341857910158
CQR_MLP_v2,50,0,22.0,131.43741905905983,43.16139497068264,211.0115333212257,64.58021697998046
CQR_MLP_v2,50,1,22.0,131.99386284568095,28.43326286499416,195.333991506847,64.26667938232424
