method,n_early,fold,stratum,n_cells,coverage,mean_y_true
Deep_Ensemble_PINN_Knee,50,0,low,7,1.0,227.57142639160156
Deep_Ensemble_PINN_Knee,50,0,mid,9,1.0,407.77777099609375
Deep_Ensemble_PINN_Knee,50,0,high,6,1.0,647.1666870117188
Deep_Ensemble_PINN_Knee,50,1,low,7,1.0,228.42857360839844
Deep_Ensemble_PINN_Knee,50,1,mid,9,1.0,424.3333435058594
Deep_Ensemble_PINN_Knee,50,1,high,6,0.6666666666666666,746.6666870117188
Deep_Ensemble_PINN_Knee,50,2,low,7,0.7142857142857143,183.0
Deep_Ensemble_PINN_Knee,50,2,mid,8,1.0,473.25
Deep_Ensemble_PINN_Knee,50,2,high,7,0.8571428571428571,713.1428833007812
Deep_Ensemble_PINN_Knee,50,3,low,7,1.0,220.42857360839844
Deep_Ensemble_PINN_Knee,50,3,mid,8,1.0,427.0
Deep_Ensemble_PINN_Knee,50,3,high,7,1.0,677.7142944335938
Deep_Ensemble_PINN_Knee,50,4,low,7,1.0,207.42857360839844
Deep_Ensemble_PINN_Knee,50,4,mid,8,1.0,401.0
Deep_Ensemble_PINN_Knee,50,4,high,7,0.8571428571428571,888.5714111328125
Deep_Ensemble_PINN_Knee,100,0,low,7,1.0,227.57142639160156
Deep_Ensemble_PINN_Knee,100,0,mid,9,1.0,407.77777099609375
Deep_Ensemble_PINN_Knee,100,0,high,6,1.0,647.1666870117188
Deep_Ensemble_PINN_Knee,100,1,low,7,1.0,228.42857360839844
Deep_Ensemble_PINN_Knee,100,1,mid,9,1.0,424.3333435058594
Deep_Ensemble_PINN_Knee,100,1,high,6,0.6666666666666666,746.6666870117188
Deep_Ensemble_PINN_Knee,100,2,low,7,1.0,280.0
Deep_Ensemble_PINN_Knee,100,2,mid,6,1.0,495.6666564941406
Deep_Ensemble_PINN_Knee,100,2,high,7,0.8571428571428571,713.1428833007812
Deep_Ensemble_PINN_Knee,100,3,low,7,1.0,245.7142791748047
Deep_Ensemble_PINN_Knee,100,3,mid,7,1.0,452.5714416503906
Deep_Ensemble_PINN_Knee,100,3,high,7,1.0,677.7142944335938
Deep_Ensemble_PINN_Knee,100,4,low,7,1.0,207.42857360839844
Deep_Ensemble_PINN_Knee,100,4,mid,8,1.0,401.0
Deep_Ensemble_PINN_Knee,100,4,high,7,0.8571428571428571,888.5714111328125
Deep_Ensemble_PINN_Knee,150,0,low,7,1.0,249.0
Deep_Ensemble_PINN_Knee,150,0,mid,8,1.0,427.25
Deep_Ensemble_PINN_Knee,150,0,high,6,1.0,647.1666870117188
Deep_Ensemble_PINN_Knee,150,1,low,7,1.0,245.42857360839844
Deep_Ensemble_PINN_Knee,150,1,mid,8,1.0,445.875
Deep_Ensemble_PINN_Knee,150,1,high,6,0.6666666666666666,746.6666870117188
Deep_Ensemble_PINN_Knee,150,2,low,6,1.0,302.5
Deep_Ensemble_PINN_Knee,150,2,mid,7,1.0,497.28570556640625
Deep_Ensemble_PINN_Knee,150,2,high,6,0.6666666666666666,747.5
Deep_Ensemble_PINN_Knee,150,3,low,7,1.0,245.7142791748047
Deep_Ensemble_PINN_Knee,150,3,mid,7,1.0,452.5714416503906
Deep_Ensemble_PINN_Knee,150,3,high,7,1.0,677.7142944335938
Deep_Ensemble_PINN_Knee,150,4,low,7,1.0,259.4285583496094
Deep_Ensemble_PINN_Knee,150,4,mid,6,1.0,431.5
Deep_Ensemble_PINN_Knee,150,4,high,7,0.7142857142857143,888.5714111328125
CQR_PINN_Knee,50,0,low,7,1.0,227.57142639160156
CQR_PINN_Knee,50,0,mid,9,1.0,407.77777099609375
CQR_PINN_Knee,50,0,high,6,1.0,647.1666870117188
CQR_PINN_Knee,50,1,low,7,1.0,228.42857360839844
CQR_PINN_Knee,50,1,mid,9,1.0,424.3333435058594
CQR_PINN_Knee,50,1,high,6,0.8333333333333334,746.6666870117188
CQR_PINN_Knee,50,2,low,7,1.0,183.0
CQR_PINN_Knee,50,2,mid,8,1.0,473.25
CQR_PINN_Knee,50,2,high,7,1.0,713.1428833007812
CQR_PINN_Knee,50,3,low,7,1.0,220.42857360839844
CQR_PINN_Knee,50,3,mid,8,1.0,427.0
CQR_PINN_Knee,50,3,high,7,1.0,677.7142944335938
CQR_PINN_Knee,50,4,low,7,0.8571428571428571,207.42857360839844
CQR_PINN_Knee,50,4,mid,8,1.0,401.0
CQR_PINN_Knee,50,4,high,7,0.8571428571428571,888.5714111328125
CQR_PINN_Knee,100,0,low,7,1.0,227.57142639160156
CQR_PINN_Knee,100,0,mid,9,1.0,407.77777099609375
CQR_PINN_Knee,100,0,high,6,1.0,647.1666870117188
CQR_PINN_Knee,100,1,low,7,1.0,228.42857360839844
CQR_PINN_Knee,100,1,mid,9,1.0,424.3333435058594
CQR_PINN_Knee,100,1,high,6,0.8333333333333334,746.6666870117188
CQR_PINN_Knee,100,2,low,7,1.0,280.0
CQR_PINN_Knee,100,2,mid,6,1.0,495.6666564941406
CQR_PINN_Knee,100,2,high,7,1.0,713.1428833007812
CQR_PINN_Knee,100,3,low,7,1.0,245.7142791748047
CQR_PINN_Knee,100,3,mid,7,1.0,452.5714416503906
CQR_PINN_Knee,100,3,high,7,1.0,677.7142944335938
CQR_PINN_Knee,100,4,low,7,1.0,207.42857360839844
CQR_PINN_Knee,100,4,mid,8,1.0,401.0
CQR_PINN_Knee,100,4,high,7,0.8571428571428571,888.5714111328125
CQR_PINN_Knee,150,0,low,7,1.0,249.0
CQR_PINN_Knee,150,0,mid,8,1.0,427.25
CQR_PINN_Knee,150,0,high,6,1.0,647.1666870117188
CQR_PINN_Knee,150,1,low,7,1.0,245.42857360839844
CQR_PINN_Knee,150,1,mid,8,1.0,445.875
CQR_PINN_Knee,150,1,high,6,0.6666666666666666,746.6666870117188
CQR_PINN_Knee,150,2,low,6,0.8333333333333334,302.5
CQR_PINN_Knee,150,2,mid,7,1.0,497.28570556640625
CQR_PINN_Knee,150,2,high,6,0.6666666666666666,747.5
CQR_PINN_Knee,150,3,low,7,1.0,245.7142791748047
CQR_PINN_Knee,150,3,mid,7,1.0,452.5714416503906
CQR_PINN_Knee,150,3,high,7,0.8571428571428571,677.7142944335938
CQR_PINN_Knee,150,4,low,7,0.8571428571428571,259.4285583496094
CQR_PINN_Knee,150,4,mid,6,1.0,431.5
CQR_PINN_Knee,150,4,high,7,0.8571428571428571,888.5714111328125
CQR_MLP,50,0,low,7,1.0,227.57142639160156
CQR_MLP,50,0,mid,9,1.0,407.77777099609375
CQR_MLP,50,0,high,6,1.0,647.1666870117188
CQR_MLP,50,1,low,7,1.0,228.42857360839844
CQR_MLP,50,1,mid,9,0.7777777777777778,424.3333435058594
CQR_MLP,50,1,high,6,0.6666666666666666,746.6666870117188
CQR_MLP,50,2,low,7,0.8571428571428571,183.0
CQR_MLP,50,2,mid,8,0.75,473.25
CQR_MLP,50,2,high,7,0.8571428571428571,713.1428833007812
CQR_MLP,50,3,low,7,1.0,220.42857360839844
CQR_MLP,50,3,mid,8,1.0,427.0
CQR_MLP,50,3,high,7,1.0,677.7142944335938
CQR_MLP,50,4,low,7,0.8571428571428571,207.42857360839844
CQR_MLP,50,4,mid,8,0.75,401.0
CQR_MLP,50,4,high,7,0.7142857142857143,888.5714111328125
CQR_MLP,100,0,low,7,1.0,227.57142639160156
CQR_MLP,100,0,mid,9,1.0,407.77777099609375
CQR_MLP,100,0,high,6,1.0,647.1666870117188
CQR_MLP,100,1,low,7,1.0,228.42857360839844
CQR_MLP,100,1,mid,9,0.8888888888888888,424.3333435058594
CQR_MLP,100,1,high,6,1.0,746.6666870117188
CQR_MLP,100,2,low,7,0.8571428571428571,280.0
CQR_MLP,100,2,mid,6,1.0,495.6666564941406
CQR_MLP,100,2,high,7,1.0,713.1428833007812
CQR_MLP,100,3,low,7,1.0,245.7142791748047
CQR_MLP,100,3,mid,7,1.0,452.5714416503906
CQR_MLP,100,3,high,7,1.0,677.7142944335938
CQR_MLP,100,4,low,7,1.0,207.42857360839844
CQR_MLP,100,4,mid,8,1.0,401.0
CQR_MLP,100,4,high,7,1.0,888.5714111328125
CQR_MLP,150,0,low,7,0.8571428571428571,249.0
CQR_MLP,150,0,mid,8,1.0,427.25
CQR_MLP,150,0,high,6,1.0,647.1666870117188
CQR_MLP,150,1,low,7,1.0,245.42857360839844
CQR_MLP,150,1,mid,8,1.0,445.875
CQR_MLP,150,1,high,6,1.0,746.6666870117188
CQR_MLP,150,2,low,6,1.0,302.5
CQR_MLP,150,2,mid,7,1.0,497.28570556640625
CQR_MLP,150,2,high,6,1.0,747.5
CQR_MLP,150,3,low,7,0.5714285714285714,245.7142791748047
CQR_MLP,150,3,mid,7,1.0,452.5714416503906
