method,n_early,pearson,spearman,mean_sigma,mean_err
Deep Ensemble PINN-Knee,50,0.10619333997821974,0.03865834141063499,24.464206825161448,147.16099580374632
Deep Ensemble PINN-Knee,100,0.06195712855274889,0.12265130586414312,37.55989948852871,137.73625404857032
Deep Ensemble PINN-Knee,150,-0.037828131637115625,-0.07084494857252716,19.84095841440769,111.0315243889304
CQR-PINN-Knee,50,0.1114577618387781,0.14928205937380248,38.675953748887174,165.59969836088746
CQR-PINN-Knee,100,-0.03332595341393545,0.08008581672838418,73.474684361016,165.54559437377026
CQR-PINN-Knee,150,-0.11398998965591545,-0.048284129401614084,69.19254348033667,152.93898262241308
Combined UQ PINN-Knee,50,0.08752534022958133,0.03510583143610667,31.314266327167235,147.12996966714573
Combined UQ PINN-Knee,100,0.062081235312365805,0.10716314974823175,41.59072780623484,137.86621772867127
Combined UQ PINN-Knee,150,-0.04750842807645429,-0.12193880724451656,27.77326002261374,110.8351596922033
Ensemble_NN,50,0.02982257713959852,0.09907806054595045,14.486429008312523,198.9048612908071
Ensemble_NN,100,-0.03668409768382088,0.001655596700562315,16.556852734832507,197.65668120749643
Ensemble_NN,150,-0.03361253249744999,0.1020802822715167,14.038154723335634,191.45434878196505
Bayesian_LSTM,50,-0.055695702007724376,-0.20924193584744044,78.74650728511034,194.68720801752266
Bayesian_LSTM,100,-0.1252353987346219,-0.18980583475381568,79.18930842410728,191.6351514351628
Bayesian_LSTM,150,-0.042497073526057236,-0.04703959830591854,82.4458003414037,184.15579021728118
Gaussian Process,50,,,0.0010000000000000005,156.66220289615632
Gaussian Process,100,,,0.0010000000000000005,141.28689285961013
Gaussian Process,150,,,0.0010000000000000002,124.72469506314143
