n_test,n_seeds,MAE,MedAE,RMSE,mean_sigma,PICP_gauss,MPIW_gauss,NLL_gauss,CRPS_gauss,q_hat,PICP_conformal,MPIW_conformal,n_early,fold
22,10,97.04266225641423,59.723290252685544,154.00779000360228,21.739372578686,0.3181818181818182,85.21834050844913,42.90995379374159,89.16189911258431,862.7983673095703,1.0,1725.59673461914,50,0
22,10,130.89302139282225,54.74418563842772,241.90052036796502,20.528034851266032,0.36363636363636365,80.46989661696283,165.16610245577252,121.30471892287805,459.4656036376953,0.9090909090909091,918.9312072753905,50,1
22,10,156.11652103770862,55.98902282714843,232.69106691830424,28.35645978795193,0.3181818181818182,111.15732236877157,60.888941058267235,145.88989485178814,401.07200927734374,0.8636363636363636,802.1440185546875,50,2
22,10,149.39019619985058,67.4664093017578,214.22276551467155,21.744479304570884,0.36363636363636365,85.23835887391785,87.61513541349885,138.66697205303225,528.0070617675781,1.0,1056.0141235351557,50,3
22,10,202.3625781319358,83.37689170837402,333.9823462386752,29.952687603332368,0.36363636363636365,117.4145354050629,129.68726247114736,189.79704658773028,460.4380340576172,0.9545454545454546,920.8760681152344,50,4
22,10,85.28415187488903,46.45002746582031,146.32156349868694,28.898204594517278,0.5,113.28096201050771,26.53793103128086,76.21448862415863,821.7080718994141,1.0,1643.4161437988287,100,0
22,10,126.04316544966264,54.0065856933594,229.13222446744308,32.27809404374239,0.5454545454545454,126.53012865147019,40.050189654316554,114.1439620622689,371.30177917480466,0.9090909090909091,742.6035583496091,100,1
20,10,155.39056678771973,100.93006591796876,205.99182048386734,66.48483062033159,0.65,260.6205360316999,9.435430518660558,125.94647330954274,424.5645050048828,0.95,849.1290100097655,100,2
21,10,127.50511401948476,41.19250030517577,179.85886854469857,32.14757075235587,0.47619047619047616,126.01847734923497,46.34523719013743,114.61749858175509,487.0793762207031,1.0,974.1587524414062,100,3
22,10,195.59815781333228,86.05876045227049,320.2803740293719,30.374321682943414,0.3181818181818182,119.06734099713817,205.85733170708497,182.39118071326897,422.65516967773436,0.9545454545454546,845.3103393554687,100,4
21,10,69.58260505312965,32.617349243164085,109.21924678142784,19.302578849051898,0.5238095238095238,75.66610908828345,22.024476840010045,61.92076543125366,789.7532897949219,1.0,1579.506579589844,150,0
21,10,118.02720867338637,51.37884216308595,215.49595248477578,15.909244323205273,0.38095238095238093,62.36423774696469,157.3738329915064,110.8153705305024,310.63251953125,0.9047619047619048,621.2650390625001,150,1
19,10,109.98659619783099,65.2354766845703,156.5417873177496,21.422735366180973,0.3684210526315789,83.97712263542941,44.46542121234504,101.50826512090919,302.0918212890625,0.8947368421052632,604.1836425781252,150,2
21,10,89.27502143496561,46.660900878906205,125.50365748971336,25.16108292118768,0.38095238095238093,98.6314450510557,42.05414144559769,77.4207917055747,336.5460540771484,1.0,673.0921081542967,150,3
20,10,171.0444310760498,75.45682067871095,294.12116261512233,17.445737917490224,0.25,68.38729263656165,545.2804315181917,163.22425477816904,314.85894775390625,0.9,629.7178955078125,150,4
